Date,Price,CVol,Change,% Change,Open,High,Low
1/11/2013,4709,0,-14.29,-0.3,"4,726.80","4,750.70","4,689.80"
1/04/2013,4724,0,52.48,1.12,"4,666.00","4,743.40","4,644.80"
12/28/12,4671,0,47.72,1.03,"4,625.70","4,688.60","4,625.70"
12/21/12,4624,0,40.47,0.88,"4,583.30","4,658.70","4,569.40"
12/14/12,4583,0,31.35,0.69,"4,552.20","4,603.50","4,552.20"
12/07/2012,4552,0,45.72,1.01,"4,509.80","4,554.10","4,500.20"
11/30/12,4506,0,93.02,2.11,"4,413.00","4,514.20","4,415.50"
11/23/12,4413,0,76.16,1.76,"4,345.10","4,428.60","4,340.00"
11/16/12,4337,0,-125.18,-2.81,"4,458.50","4,465.20","4,334.30"
11/09/2012,4462,0,1.97,0.04,"4,457.40","4,519.30","4,436.20"
11/02/2012,4460,0,-12.33,-0.28,"4,475.40","4,524.80","4,457.30"
10/26/12,4472,0,-98.69,-2.16,"4,558.50","4,565.00","4,472.10"
10/19/12,4571,0,84.5,1.88,"4,484.70","4,581.80","4,479.20"
10/12/2012,4487,0,-7.8,-0.17,"4,494.70","4,512.80","4,460.40"
10/05/2012,4494,0,107.36,2.45,"4,384.40","4,495.80","4,375.00"
09/28/12,4387,0,-21.27,-0.48,"4,404.20","4,404.40","4,336.90"
09/21/12,4408,0,18.34,0.42,"4,404.20","4,421.00","4,383.30"
09/14/12,4390,0,64.12,1.48,"4,339.30","4,398.30","4,316.70"
9/07/2012,4326,0,9.72,0.23,"4,310.00","4,358.30","4,261.20"
08/31/12,4316,0,-32.88,-0.76,"4,351.40","4,375.80","4,302.50"
08/24/12,4349,0,-21.11,-0.48,"4,372.50","4,403.90","4,339.10"
08/17/12,4370,0,92.8,2.17,"4,284.40","4,370.10","4,267.10"
8/10/2012,4277,0,55.82,1.32,"4,241.70","4,330.40","4,241.70"
8/03/2012,4221,0,11.71,0.28,"4,219.40","4,288.10","4,212.70"
07/27/12,4210,0,10.65,0.25,"4,186.70","4,209.80","4,084.40"
07/20/12,4199,0,116.88,2.86,"4,093.60","4,215.60","4,093.60"
07/13/12,4082,0,-75.56,-1.82,"4,148.40","4,148.40","4,062.30"
7/06/2012,4158,0,63.17,1.54,"4,098.00","4,175.80","4,098.00"
06/29/12,4095,0,46.42,1.15,"4,046.50","4,117.00","3,993.80"
06/22/12,4048,0,-9.12,-0.22,"4,071.20","4,159.30","4,038.60"
06/15/12,4057,0,-6.36,-0.16,"4,062.30","4,087.80","4,026.50"
6/08/2012,4064,0,-0.19,0,"4,047.20","4,121.40","3,985.00"
6/01/2012,4064,0,34.64,0.86,"4,034.60","4,118.00","4,030.40"
05/25/12,4029,0,-17.21,-0.43,"4,051.70","4,122.60","4,024.80"
05/18/12,4046,0,-238.61,-5.57,"4,287.50","4,304.40","4,026.50"
5/11/2012,4285,0,-110.97,-2.52,"4,375.40","4,375.40","4,257.90"
5/04/2012,4396,0,33.99,0.78,"4,373.10","4,448.50","4,373.00"
04/27/12,4362,0,-4.45,-0.1,"4,364.30","4,393.80","4,337.70"
04/20/12,4367,0,43.19,1,"4,312.50","4,377.10","4,286.40"
04/13/12,4323,0,3.46,0.08,"4,308.90","4,330.50","4,246.10"
4/05/2012,4320,0,-15.4,-0.36,"4,348.80","4,377.50","4,286.30"
03/30/12,4335,0,64.86,1.52,"4,270.30","4,361.10","4,262.80"
