date,close,djia,pe ratio  ,yield,iron,oil
31/05/2011,4708,12570,14.3,4.1,177,101
30/06/2011,4608,12414,13.9,4.2,171,96
29/07/2011,4425,12143,13.4,4.4,173,97
31/08/2011,4297,11614,12.3,4.5,177,86
30/09/2011,4009,10913,11.3,4.9,177,86
31/10/2011,4298,11955,12,4.6,150,86
30/11/2011,4120,12046,11.8,4.8,136,97
30/12/2011,4057,12218,12.1,4.8,136,99
31/01/2012,4263,12633,12.6,4.6,140,100
29/02/2012,4299,12952,12.5,4.6,140,102
30/03/2012,4335,13212,12.9,4.6,145,106
30/04/2012,4397,13214,13.4,4.5,148,103
31/05/2012,4076,12393,12.6,4.8,136,95
29/06/2012,4095,12880,12.6,4.8,135,82
31/07/2012,4269,13009,12.8,4.7,128,88
31/08/2012,4316,13091,14.3,4.6,108,94
28/09/2012,4387,13437,14.4,4.5,99,95
31/10/2012,4517,13096,14.8,4.5,114,90
30/11/2012,4506,13026,14.6,4.5,120,87
31/12/2012,4649,13104,15.6,4.3,129,88
31/01/2013,4879,13861,16.4,4.1,150,95
28/02/2013,5104,14054,17.2,4,155,95
28/03/2013,4967,14579,17,4.1,140,93
30/04/2013,5191,14840,17.6,3.9,137,92
31/05/2013,4927,15116,17,4.1,124,95
28/06/2013,4803,14910,16.5,4.2,115,96
31/07/2013,5052,15500,17.3,4,127,105
30/08/2013,5135,14810,16.2,4,137,107
30/09/2013,5219,15130,16.8,4.2,134,106
31/10/2013,5426,15546,16.9,4.1,133,101
29/11/2013,5320,16086,16.6,4.2,136,94
31/12/2013,5352,16577,16.7,4.2,136,98
31/01/2014,5190,15699,16.3,4.3,128,95
28/02/2014,5405,16322,16.1,4.1,121,101
31/03/2014,5395,16458,15.9,4.3,112,101
30/04/2014,5489,16581,16.2,4.2,115,102
30/05/2014,5493,16717,16.1,4.2,101,102
30/06/2014,5396,16827,15.7,4.3,93,105
31/07/2014,5633,16563,16.5,4.1,96,103
29/08/2014,5626,17098,16.2,4.2,93,96
30/09/2014,5293,17043,15.2,4.5,82,93
31/10/2014,5527,17391,16,4.3,80,84
28/11/2014,5313,17828,15,4.4,73,76
31/12/2014,5411,17823,15.4,4.5,69,59
30/01/2015,5588,17165,15.7,4.4,67,48
27/02/2015,5929,18133,15.7,4.2,63,51
31/03/2015,5892,17776,15.6,4.2,57,48
30/04/2015,5790,17841,16.9,4.2,51,54
29/05/2015,5777,18011,15.9,4.5,60,59
30/06/2015,5459,17620,15.4,4.6,62,60
31/07/2015,5699,17690,15.8,4.5,52,51
31/08/2015,5207,16528,15.6,4.9,55,43
30/09/2015,5022,16285,15,5.1,56,45
30/10/2015,5239,17664,15.7,4.8,53,46
30/11/2015,5167,17720,15.8,4.7,46,43
31/12/2015,5296,17425,15.8,4.7,40,37
29/01/2016,5006,16466,15.1,5,41,32
29/02/2016,4881,16517,14.4,4.8,46,30
31/03/2016,5083,17685,14.6,4.7,56,38
29/04/2016,5252,17774,15.5,4.4,60,41
31/05/2016,5379,17787,17,4.5,55,47
30/06/2016,5233,17930,16,4.6,51,49
29/07/2016,5562,18432,17.3,4.3,57,45
31/08/2016,5433,18401,16.7,4.4,60,45
30/09/2016,5436,18308,16.5,4.4,57,45
31/10/2016,5318,18142,16,4.6,58,50
30/11/2016,5441,19132,16.9,4.5,72,46
30/12/2016,5666,19774,17.7,4.3,79,52
31/01/2017,5621,19864,17.3,4.4,81,53
28/02/2017,5712,20812,18.5,4.2,89,53
31/03/2017,5865,20662,18.6,4.1,87,50
28/04/2017,5924,20941,19,4,70,51
31/05/2017,5725,21009,17.2,4.2,62,49
30/06/2017,5722,21352,17.3,4.2,58,45
31/07/2017,5721,21964,17.4,4.2,66,47
31/08/2017,5715,21951,15.4,4.4,75,48
29/09/2017,5682,22405,15.4,4.4,70,50
31/10/2017,5909,23377,15.8,4.2,60,52
30/11/2017,5970,24260,15.9,4.2,63,57
29/12/2017,6065,24744,16.1,4.1,71,58
31/01/2018,6038,26149,15.9,4.1,76,64
28/02/2018,6016,25029,16.1,4.2,77,62
29/03/2018,5759,24103,15.4,4.4,70,63
30/04/2018,5983,24167,16,4.2,65,66
31/05/2018,6012,24416,16,4.2,67,70
29/06/2018,6195,24271,16.7,4.1,65,67
31/07/2018,6280,25414,16.8,4,64,70
31/08/2018,6320,25965,16.9,4,68,68
28/09/2018,6208,26458,16.7,4.1,68,70
31/10/2018,5830,25116,15.6,4.4,71,71
30/11/2018,5667,25538,15.4,4.5,74,57
31/12/2018,5646,23327,14.8,4.7,68,49
31/01/2019,5865,25000,15.7,4.4,74,52
28/02/2019,6169,25916,15.8,4.3,80,50
29/03/2019,6181,25929,16.1,4.2,86,58
30/04/2019,6325,26593,16.3,4.2,93,64
31/05/2019,6397,24815,16.3,4,96,61
28/06/2019,6619,26600,17.2,4,104,55
